"","PDGFNS2_aligned.bam"
"ENSRNOG00000023126",0
"ENSRNOG00000049010",0
"ENSRNOG00000062769",0
"ENSRNOG00000043292",2
"ENSRNOG00000016289",11
"ENSRNOG00000011963",0
"ENSRNOG00000069332",0
"ENSRNOG00000045818",0
"ENSRNOG00000010047",40
"ENSRNOG00000025157",352
"ENSRNOG00000059302",1
"ENSRNOG00000052207",1779
"ENSRNOG00000022373",864
"ENSRNOG00000070775",0
"ENSRNOG00000018045",478
"ENSRNOG00000061317",0
"ENSRNOG00000056337",0
"ENSRNOG00000011827",807
"ENSRNOG00000063475",1
"ENSRNOG00000034093",10395
"ENSRNOG00000009503",76
"ENSRNOG00000046368",210
"ENSRNOG00000065845",0
"ENSRNOG00000055370",0
"ENSRNOG00000029592",2584
"ENSRNOG00000033499",0
"ENSRNOG00000064528",0
"ENSRNOG00000024628",0
"ENSRNOG00000032941",12
"ENSRNOG00000033147",1
"ENSRNOG00000049530",5
"ENSRNOG00000067368",0
"ENSRNOG00000020279",463
"ENSRNOG00000011555",777
"ENSRNOG00000068362",73
"ENSRNOG00000070040",0
"ENSRNOG00000070781",0
"ENSRNOG00000067496",0
"ENSRNOG00000009168",0
"ENSRNOG00000014815",0
"ENSRNOG00000004978",2583
"ENSRNOG00000010992",0
"ENSRNOG00000067916",0
"ENSRNOG00000063016",7
"ENSRNOG00000070591",56
"ENSRNOG00000024623",1
"ENSRNOG00000047236",20
"ENSRNOG00000063309",38
"ENSRNOG00000030748",6
"ENSRNOG00000016214",1922
"ENSRNOG00000066364",0
"ENSRNOG00000066603",0
"ENSRNOG00000070191",0
"ENSRNOG00000066407",0
"ENSRNOG00000062928",0
"ENSRNOG00000029493",0
"ENSRNOG00000030494",67
"ENSRNOG00000067699",0
"ENSRNOG00000063988",0
"ENSRNOG00000064397",0
"ENSRNOG00000038902",16
"ENSRNOG00000019044",0
"ENSRNOG00000068251",0
"ENSRNOG00000064598",0
"ENSRNOG00000068421",0
"ENSRNOG00000011980",2
"ENSRNOG00000042266",0
"ENSRNOG00000063985",0
"ENSRNOG00000010680",19
"ENSRNOG00000049827",6
"ENSRNOG00000070831",0
"ENSRNOG00000065118",0
"ENSRNOG00000065510",0
"ENSRNOG00000023892",0
"ENSRNOG00000037223",0
"ENSRNOG00000029339",556
"ENSRNOG00000067361",69
"ENSRNOG00000030747",547
"ENSRNOG00000070872",0
"ENSRNOG00000010741",11
"ENSRNOG00000021101",38
"ENSRNOG00000065432",245
"ENSRNOG00000065162",0
"ENSRNOG00000063704",1
"ENSRNOG00000069915",0
"ENSRNOG00000009314",0
"ENSRNOG00000065565",3
"ENSRNOG00000031144",0
"ENSRNOG00000009574",0
"ENSRNOG00000017695",6683
"ENSRNOG00000022745",176
"ENSRNOG00000071169",0
"ENSRNOG00000009383",0
"ENSRNOG00000065447",0
"ENSRNOG00000065886",19
"ENSRNOG00000021166",3600
"ENSRNOG00000011929",1145
"ENSRNOG00000031358",658
"ENSRNOG00000016432",30
"ENSRNOG00000016044",11
"ENSRNOG00000017723",396
"ENSRNOG00000009326",0
"ENSRNOG00000011284",512
"ENSRNOG00000014143",26
"ENSRNOG00000014872",4450
"ENSRNOG00000020255",3448
"ENSRNOG00000064204",104
"ENSRNOG00000070921",14
"ENSRNOG00000015274",338
"ENSRNOG00000017744",608
"ENSRNOG00000025297",0
"ENSRNOG00000021182",682
"ENSRNOG00000009955",35
"ENSRNOG00000011317",1610
"ENSRNOG00000037115",0
"ENSRNOG00000023965",0
"ENSRNOG00000019754",446
"ENSRNOG00000013798",302
"ENSRNOG00000022218",290
"ENSRNOG00000019240",1040
"ENSRNOG00000053349",9
"ENSRNOG00000069596",0
"ENSRNOG00000065742",0
"ENSRNOG00000048949",393
"ENSRNOG00000036885",0
"ENSRNOG00000045743",1
"ENSRNOG00000069593",10
"ENSRNOG00000019211",4795
"ENSRNOG00000013872",0
"ENSRNOG00000023943",0
"ENSRNOG00000013894",0
"ENSRNOG00000064223",1
"ENSRNOG00000029756",0
"ENSRNOG00000015655",4156
"ENSRNOG00000019333",7791
"ENSRNOG00000014490",580
"ENSRNOG00000070399",1
"ENSRNOG00000013902",0
"ENSRNOG00000043426",60
"ENSRNOG00000011025",176
"ENSRNOG00000013917",0
"ENSRNOG00000056332",17
"ENSRNOG00000015987",1099
"ENSRNOG00000019367",425
"ENSRNOG00000069829",2
"ENSRNOG00000045764",1
"ENSRNOG00000011294",773
"ENSRNOG00000016571",181
"ENSRNOG00000067239",1124
"ENSRNOG00000051854",5070
"ENSRNOG00000021581",443
"ENSRNOG00000018798",1
"ENSRNOG00000018870",0
"ENSRNOG00000070442",66
"ENSRNOG00000055257",9401
"ENSRNOG00000010306",484
"ENSRNOG00000060107",327
"ENSRNOG00000018220",1600
"ENSRNOG00000025074",1
"ENSRNOG00000011589",4512
"ENSRNOG00000052232",114
"ENSRNOG00000014857",241
"ENSRNOG00000059604",0
"ENSRNOG00000063253",0
"ENSRNOG00000018131",72
"ENSRNOG00000010655",1
"ENSRNOG00000010552",785
"ENSRNOG00000047499",462
"ENSRNOG00000018783",376
"ENSRNOG00000067768",0
"ENSRNOG00000023457",0
"ENSRNOG00000009345",0
"ENSRNOG00000054375",0
"ENSRNOG00000019417",0
"ENSRNOG00000012508",7
"ENSRNOG00000012436",2603
"ENSRNOG00000018569",2469
"ENSRNOG00000012281",0
"ENSRNOG00000011311",1300
"ENSRNOG00000018201",0
"ENSRNOG00000065373",0
"ENSRNOG00000018659",4229
"ENSRNOG00000014575",646
"ENSRNOG00000069176",0
"ENSRNOG00000015029",1716
"ENSRNOG00000046357",1555
"ENSRNOG00000015026",1683
"ENSRNOG00000014059",63
"ENSRNOG00000023338",194
"ENSRNOG00000012630",3668
"ENSRNOG00000012947",1373
"ENSRNOG00000012946",359
"ENSRNOG00000016793",1
"ENSRNOG00000068931",248
"ENSRNOG00000028561",0
"ENSRNOG00000014613",1494
"ENSRNOG00000010875",328
"ENSRNOG00000032715",1883
"ENSRNOG00000063693",0
"ENSRNOG00000011053",602
"ENSRNOG00000011559",8672
"ENSRNOG00000063905",0
"ENSRNOG00000017784",495
"ENSRNOG00000009845",595
"ENSRNOG00000070622",0
"ENSRNOG00000011654",102
"ENSRNOG00000010183",3599
"ENSRNOG00000011817",623
"ENSRNOG00000024120",21
"ENSRNOG00000012729",532
"ENSRNOG00000056545",2
"ENSRNOG00000011211",1
"ENSRNOG00000067850",6
"ENSRNOG00000070305",0
"ENSRNOG00000064106",2
"ENSRNOG00000011612",0
"ENSRNOG00000047473",17
"ENSRNOG00000014674",346
"ENSRNOG00000015423",650
"ENSRNOG00000020642",305
"ENSRNOG00000066838",90
"ENSRNOG00000049513",0
"ENSRNOG00000015816",329
"ENSRNOG00000051606",87
"ENSRNOG00000027894",248
"ENSRNOG00000020822",3006
"ENSRNOG00000015421",95
"ENSRNOG00000066453",0
"ENSRNOG00000015153",1996
"ENSRNOG00000063260",1
"ENSRNOG00000043095",589
"ENSRNOG00000025406",93
"ENSRNOG00000066460",0
"ENSRNOG00000064316",0
"ENSRNOG00000011057",862
"ENSRNOG00000028403",239
"ENSRNOG00000017986",31
"ENSRNOG00000043511",0
"ENSRNOG00000017272",437
"ENSRNOG00000011070",1067
"ENSRNOG00000031576",54
"ENSRNOG00000012645",1024
"ENSRNOG00000065312",2057
"ENSRNOG00000057159",219
"ENSRNOG00000018054",7
"ENSRNOG00000067567",2
"ENSRNOG00000018679",0
"ENSRNOG00000010071",354
"ENSRNOG00000010889",44
"ENSRNOG00000059480",1612
"ENSRNOG00000010210",122
"ENSRNOG00000043414",0
"ENSRNOG00000069289",0
"ENSRNOG00000051623",190
"ENSRNOG00000069082",0
"ENSRNOG00000056746",0
"ENSRNOG00000009610",0
"ENSRNOG00000058694",719
"ENSRNOG00000065314",63
"ENSRNOG00000010105",12510
"ENSRNOG00000012427",85
"ENSRNOG00000023226",3224
"ENSRNOG00000068452",0
"ENSRNOG00000069471",0
"ENSRNOG00000012280",38
"ENSRNOG00000014178",366
"ENSRNOG00000019590",565
"ENSRNOG00000024594",126
"ENSRNOG00000048617",929
"ENSRNOG00000011400",0
"ENSRNOG00000009276",358
"ENSRNOG00000039588",4
"ENSRNOG00000063783",23
"ENSRNOG00000012312",0
"ENSRNOG00000012556",114
"ENSRNOG00000022234",460
"ENSRNOG00000069382",0
"ENSRNOG00000024845",510
"ENSRNOG00000011645",136
"ENSRNOG00000024028",1
"ENSRNOG00000012019",981
"ENSRNOG00000021155",751
"ENSRNOG00000064586",0
"ENSRNOG00000011402",485
"ENSRNOG00000038091",0
"ENSRNOG00000016070",0
"ENSRNOG00000027408",227
"ENSRNOG00000059463",4639
"ENSRNOG00000010534",604
"ENSRNOG00000009538",888
"ENSRNOG00000019184",213
"ENSRNOG00000016353",7
"ENSRNOG00000011913",341
"ENSRNOG00000061857",177
"ENSRNOG00000028345",0
"ENSRNOG00000020673",1237
"ENSRNOG00000031406",337
"ENSRNOG00000010768",1561
"ENSRNOG00000012302",3
"ENSRNOG00000063747",19
"ENSRNOG00000010248",1155
"ENSRNOG00000020836",0
"ENSRNOG00000064641",0
"ENSRNOG00000010349",22
"ENSRNOG00000065199",379
"ENSRNOG00000008463",3
"ENSRNOG00000008121",0
"ENSRNOG00000069707",9
"ENSRNOG00000064203",0
"ENSRNOG00000014617",5648
"ENSRNOG00000008980",89
"ENSRNOG00000007608",0
"ENSRNOG00000067771",7
"ENSRNOG00000009135",6
"ENSRNOG00000010628",1794
"ENSRNOG00000067999",337
"ENSRNOG00000009172",0
"ENSRNOG00000021695",0
"ENSRNOG00000014753",2941
"ENSRNOG00000011052",7420
"ENSRNOG00000022837",366
"ENSRNOG00000026055",2
"ENSRNOG00000061080",4624
"ENSRNOG00000052745",490
"ENSRNOG00000009258",515
"ENSRNOG00000056660",51
"ENSRNOG00000011145",0
"ENSRNOG00000063850",0
"ENSRNOG00000013520",1973
"ENSRNOG00000061046",1055
"ENSRNOG00000011653",2926
"ENSRNOG00000039466",0
"ENSRNOG00000052444",268
"ENSRNOG00000025214",0
"ENSRNOG00000069815",19
"ENSRNOG00000009571",632
"ENSRNOG00000064940",0
"ENSRNOG00000065843",45
"ENSRNOG00000043114",208
"ENSRNOG00000071163",0
"ENSRNOG00000049057",950
"ENSRNOG00000007234",5898
"ENSRNOG00000067229",33
"ENSRNOG00000009176",885
"ENSRNOG00000069504",0
"ENSRNOG00000046734",0
"ENSRNOG00000067740",5
"ENSRNOG00000069797",68
"ENSRNOG00000006675",0
"ENSRNOG00000067894",2
"ENSRNOG00000070182",0
"ENSRNOG00000006030",0
"ENSRNOG00000013314",1374
"ENSRNOG00000010153",2719
"ENSRNOG00000047571",0
"ENSRNOG00000010517",1384
"ENSRNOG00000066577",0
"ENSRNOG00000047464",0
"ENSRNOG00000065201",1
"ENSRNOG00000071106",0
"ENSRNOG00000064534",2
"ENSRNOG00000064697",0
"ENSRNOG00000022182",819
"ENSRNOG00000002524",14
"ENSRNOG00000021817",91
"ENSRNOG00000026319",1296
"ENSRNOG00000012165",0
"ENSRNOG00000009226",0
"ENSRNOG00000049829",0
"ENSRNOG00000062790",0
"ENSRNOG00000063497",0
"ENSRNOG00000063277",0
"ENSRNOG00000006802",0
"ENSRNOG00000068151",0
"ENSRNOG00000010930",1289
"ENSRNOG00000051748",0
"ENSRNOG00000012764",855
"ENSRNOG00000000017",67
"ENSRNOG00000011713",709
"ENSRNOG00000010205",37
"ENSRNOG00000009153",0
"ENSRNOG00000068982",0
"ENSRNOG00000013383",306
"ENSRNOG00000065661",0
"ENSRNOG00000061100",2871
"ENSRNOG00000011250",0
"ENSRNOG00000063679",929
"ENSRNOG00000012035",2505
"ENSRNOG00000055103",0
"ENSRNOG00000014751",0
"ENSRNOG00000012659",122
"ENSRNOG00000011667",1373
"ENSRNOG00000006486",0
"ENSRNOG00000066685",0
"ENSRNOG00000069229",0
"ENSRNOG00000006102",742
"ENSRNOG00000066243",0
"ENSRNOG00000067399",0
"ENSRNOG00000009894",850
"ENSRNOG00000070516",26
"ENSRNOG00000014347",1557
"ENSRNOG00000070550",0
"ENSRNOG00000010761",0
"ENSRNOG00000007212",0
"ENSRNOG00000007412",224
"ENSRNOG00000011791",162
"ENSRNOG00000021729",36
"ENSRNOG00000008017",1474
"ENSRNOG00000026196",2
"ENSRNOG00000009411",99
"ENSRNOG00000068631",3
"ENSRNOG00000013668",1437
"ENSRNOG00000071062",514
"ENSRNOG00000007937",1108
"ENSRNOG00000031671",0
"ENSRNOG00000008380",3
"ENSRNOG00000006579",0
"ENSRNOG00000014713",850
"ENSRNOG00000010546",0
"ENSRNOG00000065257",0
"ENSRNOG00000006975",3250
"ENSRNOG00000013605",0
"ENSRNOG00000026176",0
"ENSRNOG00000005502",1413
"ENSRNOG00000010919",294
"ENSRNOG00000054176",633
"ENSRNOG00000058785",1083
"ENSRNOG00000008020",0
"ENSRNOG00000010601",3192
"ENSRNOG00000007942",23
"ENSRNOG00000008720",937
"ENSRNOG00000063353",0
"ENSRNOG00000008873",424
"ENSRNOG00000010952",653
"ENSRNOG00000005496",430
"ENSRNOG00000008585",0
"ENSRNOG00000006151",1
"ENSRNOG00000042570",0
"ENSRNOG00000039388",7
"ENSRNOG00000008613",2680
"ENSRNOG00000006365",21
"ENSRNOG00000066798",1244
"ENSRNOG00000006888",372
"ENSRNOG00000042126",129
"ENSRNOG00000007231",0
"ENSRNOG00000021614",6828
"ENSRNOG00000045831",0
"ENSRNOG00000006360",0
"ENSRNOG00000006968",275
"ENSRNOG00000005478",5814
"ENSRNOG00000021866",629
"ENSRNOG00000063971",0
"ENSRNOG00000025991",795
"ENSRNOG00000010435",365
"ENSRNOG00000005981",305
"ENSRNOG00000010453",1382
"ENSRNOG00000009711",0
"ENSRNOG00000070293",0
"ENSRNOG00000007486",462
"ENSRNOG00000015097",2752
"ENSRNOG00000051922",172
"ENSRNOG00000070012",0
"ENSRNOG00000011519",854
"ENSRNOG00000066936",0
"ENSRNOG00000068314",0
"ENSRNOG00000055188",0
"ENSRNOG00000066703",0
"ENSRNOG00000062900",0
"ENSRNOG00000010716",259
"ENSRNOG00000063291",0
"ENSRNOG00000069140",0
"ENSRNOG00000065666",40
"ENSRNOG00000068624",0
"ENSRNOG00000005853",0
"ENSRNOG00000065207",3
"ENSRNOG00000071146",56
"ENSRNOG00000011008",650
"ENSRNOG00000038449",493
"ENSRNOG00000007822",2110
"ENSRNOG00000011616",0
"ENSRNOG00000034084",107
"ENSRNOG00000007118",8
"ENSRNOG00000069681",117
"ENSRNOG00000068844",0
"ENSRNOG00000007636",0
"ENSRNOG00000037251",169
"ENSRNOG00000023657",380
"ENSRNOG00000005587",1432
"ENSRNOG00000011648",7461
"ENSRNOG00000066436",308
"ENSRNOG00000007874",605
"ENSRNOG00000006893",343
"ENSRNOG00000031486",0
"ENSRNOG00000046905",1330
"ENSRNOG00000070957",9
"ENSRNOG00000013809",1147
"ENSRNOG00000007288",7
"ENSRNOG00000057158",0
"ENSRNOG00000010572",350
"ENSRNOG00000012227",1142
"ENSRNOG00000063798",103
"ENSRNOG00000007356",2081
"ENSRNOG00000010053",0
"ENSRNOG00000010430",0
"ENSRNOG00000013135",1866
"ENSRNOG00000070481",303
"ENSRNOG00000012098",0
"ENSRNOG00000010513",0
"ENSRNOG00000009197",0
"ENSRNOG00000007814",1569
"ENSRNOG00000011363",338
"ENSRNOG00000009565",26
"ENSRNOG00000012785",862
"ENSRNOG00000069335",0
"ENSRNOG00000013510",643
"ENSRNOG00000008168",7
"ENSRNOG00000013517",693
"ENSRNOG00000021855",17
"ENSRNOG00000065807",0
"ENSRNOG00000008869",20
"ENSRNOG00000010473",663
"ENSRNOG00000007041",12
"ENSRNOG00000007792",232
"ENSRNOG00000013431",587
"ENSRNOG00000050469",858
"ENSRNOG00000006858",1204
"ENSRNOG00000007806",4034
"ENSRNOG00000012972",4
"ENSRNOG00000068395",0
"ENSRNOG00000010420",463
"ENSRNOG00000065130",0
"ENSRNOG00000062993",0
"ENSRNOG00000011283",141
"ENSRNOG00000005694",2236
"ENSRNOG00000039383",7
"ENSRNOG00000010746",204
"ENSRNOG00000070667",0
"ENSRNOG00000008902",0
"ENSRNOG00000023969",54
"ENSRNOG00000051433",338
"ENSRNOG00000027376",1062
"ENSRNOG00000038471",4
"ENSRNOG00000066853",0
"ENSRNOG00000006197",34578
"ENSRNOG00000062765",0
"ENSRNOG00000013261",256
"ENSRNOG00000009414",655
"ENSRNOG00000066882",0
"ENSRNOG00000069908",0
"ENSRNOG00000028801",148
"ENSRNOG00000069268",58
"ENSRNOG00000009863",2
"ENSRNOG00000068406",1
"ENSRNOG00000024986",0
"ENSRNOG00000013911",389
"ENSRNOG00000063021",1144
"ENSRNOG00000007990",1374
"ENSRNOG00000011292",156464
"ENSRNOG00000065235",0
"ENSRNOG00000008656",0
"ENSRNOG00000008157",19
"ENSRNOG00000063846",0
"ENSRNOG00000019986",515
"ENSRNOG00000061373",2226
"ENSRNOG00000067395",2
"ENSRNOG00000008332",1250
"ENSRNOG00000069227",1
"ENSRNOG00000007947",581
"ENSRNOG00000006874",0
"ENSRNOG00000007955",115
"ENSRNOG00000063630",0
"ENSRNOG00000068262",0
"ENSRNOG00000006576",837
"ENSRNOG00000021441",2
"ENSRNOG00000047453",772
"ENSRNOG00000015581",0
"ENSRNOG00000007100",482
"ENSRNOG00000007924",161
"ENSRNOG00000062430",0
"ENSRNOG00000064707",2
"ENSRNOG00000005268",0
"ENSRNOG00000007546",5252
"ENSRNOG00000028896",0
"ENSRNOG00000070702",0
"ENSRNOG00000008939",0
"ENSRNOG00000070617",22
"ENSRNOG00000065391",99
"ENSRNOG00000057096",74
"ENSRNOG00000022448",670
"ENSRNOG00000008524",550
"ENSRNOG00000020032",585
"ENSRNOG00000011808",7
"ENSRNOG00000006116",412
"ENSRNOG00000043035",68
"ENSRNOG00000008309",95
"ENSRNOG00000070386",718
"ENSRNOG00000045797",0
"ENSRNOG00000012817",861
"ENSRNOG00000007842",3752
"ENSRNOG00000021468",8
"ENSRNOG00000008062",56
"ENSRNOG00000030269",0
"ENSRNOG00000008628",49
"ENSRNOG00000008466",0
"ENSRNOG00000066158",0
"ENSRNOG00000048371",138
"ENSRNOG00000031173",8713
"ENSRNOG00000011617",713
"ENSRNOG00000070169",0
"ENSRNOG00000008098",6
"ENSRNOG00000011387",1521
"ENSRNOG00000068074",7
"ENSRNOG00000033618",1
"ENSRNOG00000037198",42
"ENSRNOG00000023679",587
"ENSRNOG00000015493",0
"ENSRNOG00000012932",16
"ENSRNOG00000011144",17
"ENSRNOG00000010345",14
"ENSRNOG00000030151",12
"ENSRNOG00000015076",6
"ENSRNOG00000011338",234
"ENSRNOG00000006132",4
"ENSRNOG00000007804",801
"ENSRNOG00000067962",1
"ENSRNOG00000012026",1525
"ENSRNOG00000049269",3297
"ENSRNOG00000007900",0
"ENSRNOG00000010905",1
"ENSRNOG00000042731",1
"ENSRNOG00000067502",0
"ENSRNOG00000007437",455
"ENSRNOG00000012392",414
"ENSRNOG00000014501",1777
"ENSRNOG00000011153",1476
"ENSRNOG00000006391",1081
"ENSRNOG00000025209",3245
"ENSRNOG00000012881",425
"ENSRNOG00000021758",3027
"ENSRNOG00000050231",6966
"ENSRNOG00000006526",1980
"ENSRNOG00000006717",119
"ENSRNOG00000006583",0
"ENSRNOG00000068221",0
"ENSRNOG00000066686",0
"ENSRNOG00000009700",23
"ENSRNOG00000015768",6
"ENSRNOG00000009742",459
"ENSRNOG00000012693",1013
"ENSRNOG00000069727",0
"ENSRNOG00000009000",2298
"ENSRNOG00000066361",0
"ENSRNOG00000063451",1
"ENSRNOG00000064111",2
"ENSRNOG00000006631",185
"ENSRNOG00000007544",0
"ENSRNOG00000008752",335
"ENSRNOG00000070192",0
"ENSRNOG00000015411",0
"ENSRNOG00000010378",2
"ENSRNOG00000048205",8831
"ENSRNOG00000022950",0
"ENSRNOG00000005906",68
"ENSRNOG00000015331",0
"ENSRNOG00000065131",1
"ENSRNOG00000048088",556
"ENSRNOG00000064705",0
"ENSRNOG00000009956",9144
"ENSRNOG00000008368",0
"ENSRNOG00000006206",3180
"ENSRNOG00000063398",0
"ENSRNOG00000007340",261
"ENSRNOG00000010833",1030
"ENSRNOG00000067011",0
"ENSRNOG00000007224",1111
"ENSRNOG00000007662",489
"ENSRNOG00000012337",117
"ENSRNOG00000008376",823
"ENSRNOG00000011014",1808
"ENSRNOG00000009957",244
"ENSRNOG00000022343",1200
"ENSRNOG00000070521",1
"ENSRNOG00000059474",4309
"ENSRNOG00000005512",4158
"ENSRNOG00000028219",1136
"ENSRNOG00000012394",760
"ENSRNOG00000013962",459
"ENSRNOG00000060689",109
"ENSRNOG00000014083",0
"ENSRNOG00000012439",919
"ENSRNOG00000006003",1
"ENSRNOG00000012876",0
"ENSRNOG00000008142",879
"ENSRNOG00000010950",271
"ENSRNOG00000006093",0
"ENSRNOG00000011566",5
"ENSRNOG00000013573",73
"ENSRNOG00000014578",6
"ENSRNOG00000013712",2129
"ENSRNOG00000052140",556
"ENSRNOG00000005775",784
"ENSRNOG00000045539",2223
"ENSRNOG00000017066",1914
"ENSRNOG00000057729",28
"ENSRNOG00000021781",1277
"ENSRNOG00000001808",1137
"ENSRNOG00000064930",0
"ENSRNOG00000010467",1
"ENSRNOG00000069710",0
"ENSRNOG00000014562",3078
"ENSRNOG00000021402",161
"ENSRNOG00000001811",1409
"ENSRNOG00000010725",0
"ENSRNOG00000062723",0
"ENSRNOG00000070875",5
"ENSRNOG00000005695",60836
"ENSRNOG00000013589",2606
"ENSRNOG00000017710",0
"ENSRNOG00000065827",1
"ENSRNOG00000066393",0
"ENSRNOG00000068450",51
"ENSRNOG00000010278",279
"ENSRNOG00000069963",4
"ENSRNOG00000068926",0
"ENSRNOG00000066762",0
"ENSRNOG00000023065",727
"ENSRNOG00000009096",21
"ENSRNOG00000069795",58
"ENSRNOG00000017399",336
"ENSRNOG00000067309",0
"ENSRNOG00000009022",65
"ENSRNOG00000062434",0
"ENSRNOG00000007281",6879
"ENSRNOG00000042507",2
"ENSRNOG00000062492",1406
"ENSRNOG00000009112",1431
"ENSRNOG00000062405",0
"ENSRNOG00000047114",10
"ENSRNOG00000023363",0
"ENSRNOG00000062429",432
"ENSRNOG00000006476",0
"ENSRNOG00000023337",444
"ENSRNOG00000033695",798
"ENSRNOG00000005615",613
"ENSRNOG00000009324",306
"ENSRNOG00000029574",19716
"ENSRNOG00000068666",0
"ENSRNOG00000018453",594
"ENSRNOG00000027655",0
"ENSRNOG00000065557",3
"ENSRNOG00000054428",0
"ENSRNOG00000008962",175
"ENSRNOG00000006857",0
"ENSRNOG00000007027",2
"ENSRNOG00000064781",12
"ENSRNOG00000067883",0
"ENSRNOG00000024709",0
"ENSRNOG00000031707",27
"ENSRNOG00000047566",16
"ENSRNOG00000066643",0
"ENSRNOG00000059347",167
"ENSRNOG00000064041",0
"ENSRNOG00000059615",1350
"ENSRNOG00000024685",0
"ENSRNOG00000067683",0
"ENSRNOG00000056052",0
"ENSRNOG00000058543",0
"ENSRNOG00000066785",0
"ENSRNOG00000067965",0
"ENSRNOG00000066267",0
"ENSRNOG00000070247",0
"ENSRNOG00000064825",0
"ENSRNOG00000010253",0
"ENSRNOG00000062896",0
"ENSRNOG00000039300",845
"ENSRNOG00000052702",113
"ENSRNOG00000033531",3376
"ENSRNOG00000054508",858
"ENSRNOG00000021799",0
"ENSRNOG00000005890",3140
"ENSRNOG00000069945",0
"ENSRNOG00000053203",941
"ENSRNOG00000064958",0
"ENSRNOG00000019719",0
"ENSRNOG00000032847",95
"ENSRNOG00000024636",0
"ENSRNOG00000027557",0
"ENSRNOG00000064052",0
"ENSRNOG00000027445",1075
"ENSRNOG00000005376",229
"ENSRNOG00000042494",0
"ENSRNOG00000056836",13176
"ENSRNOG00000012195",0
"ENSRNOG00000007270",12
"ENSRNOG00000026225",0
"ENSRNOG00000010048",1316
"ENSRNOG00000030413",3
"ENSRNOG00000051905",0
"ENSRNOG00000032535",1
"ENSRNOG00000006782",1
"ENSRNOG00000034071",1529
"ENSRNOG00000057290",1019
"ENSRNOG00000066812",0
"ENSRNOG00000028135",0
"ENSRNOG00000047774",0
"ENSRNOG00000039626",0
"ENSRNOG00000066438",141
"ENSRNOG00000054505",0
"ENSRNOG00000061595",145
"ENSRNOG00000069828",0
"ENSRNOG00000052486",0
"ENSRNOG00000054514",1321
"ENSRNOG00000008031",10
"ENSRNOG00000028130",0
"ENSRNOG00000064842",0
"ENSRNOG00000070946",645
"ENSRNOG00000017906",0
"ENSRNOG00000039863",0
"ENSRNOG00000005412",1
"ENSRNOG00000059350",3
"ENSRNOG00000066511",0
"ENSRNOG00000006646",1393
"ENSRNOG00000007508",12
"ENSRNOG00000053213",1
"ENSRNOG00000013137",3
"ENSRNOG00000049982",419
"ENSRNOG00000026811",0
"ENSRNOG00000012495",1
"ENSRNOG00000051952",1206
"ENSRNOG00000015719",0
"ENSRNOG00000017881",0
"ENSRNOG00000006779",1713
"ENSRNOG00000048169",6
"ENSRNOG00000063432",0
"ENSRNOG00000006810",982
"ENSRNOG00000009583",1
"ENSRNOG00000028538",0
"ENSRNOG00000070474",985
"ENSRNOG00000057713",2003
"ENSRNOG00000018159",13229
"ENSRNOG00000033274",87
"ENSRNOG00000007304",936
"ENSRNOG00000034168",139
"ENSRNOG00000008839",555
"ENSRNOG00000026919",24
"ENSRNOG00000005519",0
"ENSRNOG00000065301",5832
"ENSRNOG00000007808",9
"ENSRNOG00000026941",181
"ENSRNOG00000063440",0
"ENSRNOG00000060808",0
"ENSRNOG00000033748",4430
"ENSRNOG00000067848",0
"ENSRNOG00000056243",846
"ENSRNOG00000067824",0
"ENSRNOG00000027055",0
"ENSRNOG00000057387",0
"ENSRNOG00000064582",0
"ENSRNOG00000047851",0
"ENSRNOG00000005818",20
"ENSRNOG00000061394",0
"ENSRNOG00000062606",0
"ENSRNOG00000046023",1615
"ENSRNOG00000070044",0
"ENSRNOG00000065350",0
"ENSRNOG00000012822",4
"ENSRNOG00000007740",0
"ENSRNOG00000066271",0
"ENSRNOG00000068648",0
"ENSRNOG00000031207",2
"ENSRNOG00000008594",0
"ENSRNOG00000067721",0
"ENSRNOG00000067416",1
"ENSRNOG00000031306",0
"ENSRNOG00000006383",1
"ENSRNOG00000005468",274
"ENSRNOG00000010057",0
"ENSRNOG00000042954",3
"ENSRNOG00000060343",0
"ENSRNOG00000050482",176
"ENSRNOG00000063340",0
"ENSRNOG00000048888",0
"ENSRNOG00000063098",5
"ENSRNOG00000005630",1723
"ENSRNOG00000023340",0
"ENSRNOG00000005781",8
"ENSRNOG00000065160",0
"ENSRNOG00000033938",0
"ENSRNOG00000063256",0
"ENSRNOG00000068988",0
"ENSRNOG00000053787",615
"ENSRNOG00000013211",995
"ENSRNOG00000069205",0
"ENSRNOG00000067934",0
"ENSRNOG00000062608",0
"ENSRNOG00000056207",3427
"ENSRNOG00000068649",0
"ENSRNOG00000062475",0
"ENSRNOG00000062633",706
"ENSRNOG00000062392",0
"ENSRNOG00000008775",16
"ENSRNOG00000061845",1418
"ENSRNOG00000068381",0
"ENSRNOG00000068268",0
"ENSRNOG00000067685",0
"ENSRNOG00000064670",0
"ENSRNOG00000066470",0
"ENSRNOG00000013072",1272
"ENSRNOG00000064086",0
"ENSRNOG00000060349",979
"ENSRNOG00000070721",0
"ENSRNOG00000069559",0
"ENSRNOG00000068118",0
"ENSRNOG00000053662",0
"ENSRNOG00000066019",0
"ENSRNOG00000055481",1
"ENSRNOG00000063615",0
"ENSRNOG00000009211",10
"ENSRNOG00000070183",0
"ENSRNOG00000027433",2937
"ENSRNOG00000063419",0
