"","IGFNS3_aligned.bam"
"ENSRNOG00000050645",544
"ENSRNOG00000005608",179
"ENSRNOG00000009740",13
"ENSRNOG00000057924",0
"ENSRNOG00000070501",0
"ENSRNOG00000010609",695
"ENSRNOG00000015394",0
"ENSRNOG00000055966",7
"ENSRNOG00000007134",2600
"ENSRNOG00000070849",0
"ENSRNOG00000017149",87
"ENSRNOG00000065813",0
"ENSRNOG00000009872",584
"ENSRNOG00000057142",0
"ENSRNOG00000012247",5694
"ENSRNOG00000007717",0
"ENSRNOG00000061864",0
"ENSRNOG00000070547",0
"ENSRNOG00000067628",3
"ENSRNOG00000068392",0
"ENSRNOG00000063154",0
"ENSRNOG00000031312",6417
"ENSRNOG00000069338",0
"ENSRNOG00000014367",1
"ENSRNOG00000069243",1
"ENSRNOG00000014018",2
"ENSRNOG00000060843",0
"ENSRNOG00000070958",0
"ENSRNOG00000033815",0
"ENSRNOG00000067272",0
"ENSRNOG00000026675",0
"ENSRNOG00000065801",0
"ENSRNOG00000014714",0
"ENSRNOG00000066559",0
"ENSRNOG00000064073",0
"ENSRNOG00000066164",0
"ENSRNOG00000063026",0
"ENSRNOG00000017911",567
"ENSRNOG00000021313",0
"ENSRNOG00000065086",0
"ENSRNOG00000059810",140
"ENSRNOG00000063570",0
"ENSRNOG00000019528",112
"ENSRNOG00000070063",0
"ENSRNOG00000062929",0
"ENSRNOG00000053111",0
"ENSRNOG00000060151",0
"ENSRNOG00000023449",0
"ENSRNOG00000038872",3
"ENSRNOG00000052408",0
"ENSRNOG00000067498",0
"ENSRNOG00000033202",0
"ENSRNOG00000067024",0
"ENSRNOG00000001854",408
"ENSRNOG00000054316",0
"ENSRNOG00000069474",0
"ENSRNOG00000070687",0
"ENSRNOG00000063206",0
"ENSRNOG00000053700",0
"ENSRNOG00000066894",103
"ENSRNOG00000051714",0
"ENSRNOG00000010077",2194
"ENSRNOG00000025848",1
"ENSRNOG00000063666",0
"ENSRNOG00000016316",775
"ENSRNOG00000069028",0
"ENSRNOG00000062514",0
"ENSRNOG00000013000",1179
"ENSRNOG00000065462",0
"ENSRNOG00000060795",0
"ENSRNOG00000016076",0
"ENSRNOG00000052803",0
"ENSRNOG00000060744",1
"ENSRNOG00000058757",0
"ENSRNOG00000025541",0
"ENSRNOG00000055065",0
"ENSRNOG00000059753",0
"ENSRNOG00000053438",8
"ENSRNOG00000013547",0
"ENSRNOG00000070231",0
"ENSRNOG00000053237",0
"ENSRNOG00000070909",0
"ENSRNOG00000009348",14
"ENSRNOG00000031041",1
"ENSRNOG00000067876",0
"ENSRNOG00000052240",0
"ENSRNOG00000057643",0
"ENSRNOG00000053149",0
"ENSRNOG00000059101",0
"ENSRNOG00000067627",0
"ENSRNOG00000071005",0
"ENSRNOG00000055675",0
"ENSRNOG00000010466",1428
"ENSRNOG00000069215",0
"ENSRNOG00000010005",914
"ENSRNOG00000060012",0
"ENSRNOG00000055353",0
"ENSRNOG00000018317",3160
"ENSRNOG00000019716",16
"ENSRNOG00000060246",0
"ENSRNOG00000066801",0
"ENSRNOG00000015514",8744
"ENSRNOG00000065485",0
"ENSRNOG00000025519",0
"ENSRNOG00000060861",0
"ENSRNOG00000053698",0
"ENSRNOG00000068417",0
"ENSRNOG00000020169",0
"ENSRNOG00000058052",0
"ENSRNOG00000065711",0
"ENSRNOG00000059990",0
"ENSRNOG00000058775",0
"ENSRNOG00000052655",0
"ENSRNOG00000026981",575
"ENSRNOG00000064632",0
"ENSRNOG00000007707",707
"ENSRNOG00000061810",0
"ENSRNOG00000054975",0
"ENSRNOG00000025720",2
"ENSRNOG00000063999",0
"ENSRNOG00000052213",0
"ENSRNOG00000052563",0
"ENSRNOG00000006711",224
"ENSRNOG00000062852",1
"ENSRNOG00000057743",0
"ENSRNOG00000060559",2
"ENSRNOG00000064339",2
"ENSRNOG00000070876",0
"ENSRNOG00000059598",0
"ENSRNOG00000016665",624
"ENSRNOG00000054983",0
"ENSRNOG00000067154",0
"ENSRNOG00000064635",0
"ENSRNOG00000067689",0
"ENSRNOG00000053772",0
"ENSRNOG00000026874",87
"ENSRNOG00000057090",2
"ENSRNOG00000057183",0
"ENSRNOG00000006617",6
"ENSRNOG00000010239",4917
"ENSRNOG00000068043",0
"ENSRNOG00000067403",0
"ENSRNOG00000006231",0
"ENSRNOG00000066911",0
"ENSRNOG00000009556",0
"ENSRNOG00000064606",0
"ENSRNOG00000006228",5619
"ENSRNOG00000007811",0
"ENSRNOG00000063335",0
"ENSRNOG00000035451",0
"ENSRNOG00000068663",0
"ENSRNOG00000016917",8
"ENSRNOG00000058714",0
"ENSRNOG00000063469",0
"ENSRNOG00000068719",1
"ENSRNOG00000067584",0
"ENSRNOG00000040346",0
"ENSRNOG00000053661",0
"ENSRNOG00000062877",0
"ENSRNOG00000036462",0
"ENSRNOG00000005506",927
"ENSRNOG00000035458",0
"ENSRNOG00000036272",0
"ENSRNOG00000064957",0
"ENSRNOG00000017808",883
"ENSRNOG00000018309",6878
"ENSRNOG00000068116",0
"ENSRNOG00000035577",0
"ENSRNOG00000019158",0
"ENSRNOG00000035587",0
"ENSRNOG00000036271",0
"ENSRNOG00000061895",0
"ENSRNOG00000005947",0
"ENSRNOG00000035598",0
"ENSRNOG00000046475",0
"ENSRNOG00000043059",379
"ENSRNOG00000069174",42
"ENSRNOG00000035624",0
"ENSRNOG00000041321",0
"ENSRNOG00000060241",0
"ENSRNOG00000035463",2
"ENSRNOG00000048961",688
"ENSRNOG00000036461",0
"ENSRNOG00000010485",0
"ENSRNOG00000066572",2
"ENSRNOG00000063462",0
"ENSRNOG00000015762",106
"ENSRNOG00000014856",2675
"ENSRNOG00000068364",2076
"ENSRNOG00000047309",0
"ENSRNOG00000051661",0
"ENSRNOG00000016255",309
"ENSRNOG00000007405",445
"ENSRNOG00000056783",0
"ENSRNOG00000013463",587
"ENSRNOG00000037782",0
"ENSRNOG00000066193",735
"ENSRNOG00000036913",871
"ENSRNOG00000008733",515
"ENSRNOG00000008218",755
"ENSRNOG00000053337",0
"ENSRNOG00000025934",0
"ENSRNOG00000005390",11
"ENSRNOG00000001847",709
"ENSRNOG00000051600",0
"ENSRNOG00000025818",755
"ENSRNOG00000056041",1051
"ENSRNOG00000005310",2448
"ENSRNOG00000017959",66
"ENSRNOG00000051447",0
"ENSRNOG00000049645",0
"ENSRNOG00000047319",299
"ENSRNOG00000065051",0
"ENSRNOG00000065970",0
"ENSRNOG00000063089",2
"ENSRNOG00000066943",0
"ENSRNOG00000064643",0
"ENSRNOG00000016707",19
"ENSRNOG00000001820",305
"ENSRNOG00000062693",0
"ENSRNOG00000012831",80
"ENSRNOG00000067827",0
"ENSRNOG00000025042",1034
"ENSRNOG00000052467",0
"ENSRNOG00000069267",3
"ENSRNOG00000012952",298
"ENSRNOG00000053656",0
"ENSRNOG00000046899",0
"ENSRNOG00000063902",0
"ENSRNOG00000058136",0
"ENSRNOG00000006048",215
"ENSRNOG00000069959",403
"ENSRNOG00000006338",2647
"ENSRNOG00000008747",954
"ENSRNOG00000017003",4655
"ENSRNOG00000055196",0
"ENSRNOG00000033639",593
"ENSRNOG00000060248",71
"ENSRNOG00000057254",0
"ENSRNOG00000051489",0
"ENSRNOG00000043404",0
"ENSRNOG00000017354",7487
"ENSRNOG00000005858",0
"ENSRNOG00000070498",0
"ENSRNOG00000052128",1
"ENSRNOG00000013195",373
"ENSRNOG00000005480",5537
"ENSRNOG00000017525",31
"ENSRNOG00000026883",1
"ENSRNOG00000070076",1
"ENSRNOG00000001844",495
"ENSRNOG00000070281",0
"ENSRNOG00000009019",6605
"ENSRNOG00000006709",3
"ENSRNOG00000007247",0
"ENSRNOG00000047493",0
"ENSRNOG00000013743",7794
"ENSRNOG00000066539",3
"ENSRNOG00000009447",55
"ENSRNOG00000018533",678
"ENSRNOG00000018630",5373
"ENSRNOG00000007064",524
"ENSRNOG00000066889",0
"ENSRNOG00000066287",0
"ENSRNOG00000060350",5268
"ENSRNOG00000008676",6729
"ENSRNOG00000036984",0
"ENSRNOG00000066172",0
"ENSRNOG00000064375",0
"ENSRNOG00000029922",326
"ENSRNOG00000067300",268
"ENSRNOG00000064824",11
"ENSRNOG00000032443",0
"ENSRNOG00000055300",1788
"ENSRNOG00000032432",0
"ENSRNOG00000061868",10
"ENSRNOG00000010388",0
"ENSRNOG00000030004",0
"ENSRNOG00000019165",608
"ENSRNOG00000010898",0
"ENSRNOG00000057554",0
"ENSRNOG00000007126",200
"ENSRNOG00000030894",0
"ENSRNOG00000031140",0
"ENSRNOG00000054860",0
"ENSRNOG00000011824",2
"ENSRNOG00000006925",89
"ENSRNOG00000058457",582
"ENSRNOG00000015910",0
"ENSRNOG00000025930",0
"ENSRNOG00000053638",0
"ENSRNOG00000010452",590
"ENSRNOG00000012417",0
"ENSRNOG00000057335",0
"ENSRNOG00000010594",38
"ENSRNOG00000008575",0
"ENSRNOG00000051690",0
"ENSRNOG00000008714",0
"ENSRNOG00000062297",0
"ENSRNOG00000062862",0
"ENSRNOG00000060460",0
"ENSRNOG00000006703",364
"ENSRNOG00000014382",446
"ENSRNOG00000054251",2
"ENSRNOG00000069416",0
"ENSRNOG00000008362",114
"ENSRNOG00000059538",952
"ENSRNOG00000022060",767
"ENSRNOG00000065574",0
"ENSRNOG00000008239",187
"ENSRNOG00000043158",0
"ENSRNOG00000063869",0
"ENSRNOG00000023612",0
"ENSRNOG00000001817",1272
"ENSRNOG00000052024",0
"ENSRNOG00000066615",1
"ENSRNOG00000008816",6636
"ENSRNOG00000015125",98
"ENSRNOG00000032788",3218
"ENSRNOG00000005984",728
"ENSRNOG00000009035",1202
"ENSRNOG00000031709",7020
"ENSRNOG00000015290",2418
"ENSRNOG00000009052",1087
"ENSRNOG00000008234",231
"ENSRNOG00000066387",0
"ENSRNOG00000029308",0
"ENSRNOG00000024705",27
"ENSRNOG00000015409",1361
"ENSRNOG00000015529",1734
"ENSRNOG00000026864",13
"ENSRNOG00000001842",560
"ENSRNOG00000015541",20
"ENSRNOG00000010011",933
"ENSRNOG00000027630",75
"ENSRNOG00000045821",264
"ENSRNOG00000021334",8
"ENSRNOG00000060098",9242
"ENSRNOG00000052174",495
"ENSRNOG00000060308",2
"ENSRNOG00000016589",4282
"ENSRNOG00000006824",0
"ENSRNOG00000063524",370
"ENSRNOG00000062587",0
"ENSRNOG00000055950",0
"ENSRNOG00000068610",0
"ENSRNOG00000055056",0
"ENSRNOG00000016778",2121
"ENSRNOG00000070412",0
"ENSRNOG00000010806",0
"ENSRNOG00000001830",182
"ENSRNOG00000051739",0
"ENSRNOG00000024533",1123
"ENSRNOG00000009322",157
"ENSRNOG00000005968",1203
"ENSRNOG00000017052",15
"ENSRNOG00000046449",0
"ENSRNOG00000010213",1
"ENSRNOG00000069406",39
"ENSRNOG00000008465",0
"ENSRNOG00000068148",16
"ENSRNOG00000007743",1
"ENSRNOG00000006174",0
"ENSRNOG00000023708",0
"ENSRNOG00000028632",23
"ENSRNOG00000001828",141
"ENSRNOG00000064314",0
"ENSRNOG00000021579",225
"ENSRNOG00000059182",0
"ENSRNOG00000016273",260
"ENSRNOG00000016507",42
"ENSRNOG00000008870",1895
"ENSRNOG00000008412",379
"ENSRNOG00000068847",0
"ENSRNOG00000005383",0
"ENSRNOG00000070810",0
"ENSRNOG00000068724",0
"ENSRNOG00000009970",21
"ENSRNOG00000016704",3793
"ENSRNOG00000068441",0
"ENSRNOG00000070768",0
"ENSRNOG00000066203",0
"ENSRNOG00000070369",0
"ENSRNOG00000032967",2
"ENSRNOG00000050564",32
"ENSRNOG00000007838",1196
"ENSRNOG00000059870",89
"ENSRNOG00000036918",224
"ENSRNOG00000029321",0
"ENSRNOG00000008130",0
"ENSRNOG00000068499",0
"ENSRNOG00000036917",337
"ENSRNOG00000012228",1264
"ENSRNOG00000063414",0
"ENSRNOG00000028526",1247
"ENSRNOG00000016813",846
"ENSRNOG00000067025",0
"ENSRNOG00000064322",47
"ENSRNOG00000064061",0
"ENSRNOG00000030158",0
"ENSRNOG00000063572",0
"ENSRNOG00000009726",0
"ENSRNOG00000011944",1359
"ENSRNOG00000006505",840
"ENSRNOG00000069193",0
"ENSRNOG00000070189",0
"ENSRNOG00000006628",336
"ENSRNOG00000017380",666
"ENSRNOG00000068824",0
"ENSRNOG00000049378",903
"ENSRNOG00000009156",780
"ENSRNOG00000063550",0
"ENSRNOG00000070159",0
"ENSRNOG00000009031",0
"ENSRNOG00000064847",2
"ENSRNOG00000065855",0
"ENSRNOG00000010090",169
"ENSRNOG00000063876",0
"ENSRNOG00000066922",0
"ENSRNOG00000008933",1
"ENSRNOG00000069491",0
"ENSRNOG00000057410",0
"ENSRNOG00000008622",244
"ENSRNOG00000063193",0
"ENSRNOG00000024647",1352
"ENSRNOG00000063365",0
"ENSRNOG00000014508",1504
"ENSRNOG00000036911",293
"ENSRNOG00000068688",0
"ENSRNOG00000005767",3777
"ENSRNOG00000069766",0
"ENSRNOG00000070208",0
"ENSRNOG00000024569",0
"ENSRNOG00000061757",0
"ENSRNOG00000063422",0
"ENSRNOG00000022155",41
"ENSRNOG00000010536",989
"ENSRNOG00000028517",554
"ENSRNOG00000071104",0
"ENSRNOG00000008369",0
"ENSRNOG00000065905",0
"ENSRNOG00000027869",128
"ENSRNOG00000062735",16
"ENSRNOG00000070091",0
"ENSRNOG00000010912",112
"ENSRNOG00000062853",0
"ENSRNOG00000033338",3
"ENSRNOG00000065025",0
"ENSRNOG00000011391",505
"ENSRNOG00000005936",3
"ENSRNOG00000067273",0
"ENSRNOG00000068469",0
"ENSRNOG00000069427",0
"ENSRNOG00000038740",0
"ENSRNOG00000049943",184
"ENSRNOG00000071189",0
"ENSRNOG00000063347",167
"ENSRNOG00000051667",0
"ENSRNOG00000069376",0
"ENSRNOG00000064389",0
"ENSRNOG00000007338",5206
"ENSRNOG00000042229",0
"ENSRNOG00000015986",2736
"ENSRNOG00000063859",0
"ENSRNOG00000071049",0
"ENSRNOG00000064832",0
"ENSRNOG00000063035",0
"ENSRNOG00000010886",39
"ENSRNOG00000005621",326
"ENSRNOG00000048541",0
"ENSRNOG00000068056",0
"ENSRNOG00000008416",0
"ENSRNOG00000022466",77
"ENSRNOG00000064789",0
"ENSRNOG00000006264",296
"ENSRNOG00000067679",0
"ENSRNOG00000006491",0
"ENSRNOG00000007570",1572
"ENSRNOG00000023257",388
"ENSRNOG00000007272",259
"ENSRNOG00000007519",3109
"ENSRNOG00000011175",1185
"ENSRNOG00000063659",0
"ENSRNOG00000064003",0
"ENSRNOG00000005670",13
"ENSRNOG00000070109",0
"ENSRNOG00000069414",0
"ENSRNOG00000066010",0
"ENSRNOG00000070575",1
"ENSRNOG00000061664",0
"ENSRNOG00000069088",0
"ENSRNOG00000008274",239
"ENSRNOG00000065775",542
"ENSRNOG00000006444",1116
"ENSRNOG00000067056",0
"ENSRNOG00000011814",604
"ENSRNOG00000005576",125
"ENSRNOG00000056219",6
"ENSRNOG00000005628",161
"ENSRNOG00000053188",0
"ENSRNOG00000007178",0
"ENSRNOG00000066676",0
"ENSRNOG00000042018",0
"ENSRNOG00000064982",0
"ENSRNOG00000057061",202
"ENSRNOG00000062345",0
"ENSRNOG00000068921",0
"ENSRNOG00000058653",1
"ENSRNOG00000069235",0
"ENSRNOG00000001804",251
"ENSRNOG00000015328",25
"ENSRNOG00000009184",6705
"ENSRNOG00000069590",0
"ENSRNOG00000063932",572
"ENSRNOG00000068013",0
"ENSRNOG00000055734",0
"ENSRNOG00000059771",0
"ENSRNOG00000053362",701
"ENSRNOG00000070863",0
"ENSRNOG00000069405",0
"ENSRNOG00000067149",224
"ENSRNOG00000008063",735
"ENSRNOG00000064240",423
"ENSRNOG00000064662",0
"ENSRNOG00000064937",484
"ENSRNOG00000070930",512
"ENSRNOG00000062401",0
"ENSRNOG00000063863",0
"ENSRNOG00000033407",10
"ENSRNOG00000031515",0
"ENSRNOG00000062453",437
"ENSRNOG00000069030",1652
"ENSRNOG00000043170",4
"ENSRNOG00000062391",0
"ENSRNOG00000066951",16
"ENSRNOG00000059195",0
"ENSRNOG00000067299",0
"ENSRNOG00000066392",2
"ENSRNOG00000066650",247
"ENSRNOG00000008481",2
"ENSRNOG00000067332",818
"ENSRNOG00000010316",35
"ENSRNOG00000067063",0
"ENSRNOG00000064988",0
"ENSRNOG00000008393",3293
"ENSRNOG00000066162",82
"ENSRNOG00000070651",0
"ENSRNOG00000010347",0
"ENSRNOG00000064409",0
"ENSRNOG00000066715",0
"ENSRNOG00000067911",0
"ENSRNOG00000068347",0
"ENSRNOG00000065619",0
"ENSRNOG00000071185",93
"ENSRNOG00000068422",0
"ENSRNOG00000065663",1
"ENSRNOG00000069445",1
"ENSRNOG00000008443",287
"ENSRNOG00000006281",705
"ENSRNOG00000012748",590
"ENSRNOG00000063346",0
"ENSRNOG00000068365",9
"ENSRNOG00000012364",2284
"ENSRNOG00000068050",4
"ENSRNOG00000027365",299
"ENSRNOG00000063537",0
"ENSRNOG00000064040",0
"ENSRNOG00000064294",0
"ENSRNOG00000047951",229
"ENSRNOG00000062344",0
"ENSRNOG00000005353",2011
"ENSRNOG00000006069",1080
"ENSRNOG00000063803",0
"ENSRNOG00000048917",45
"ENSRNOG00000012347",136
"ENSRNOG00000065409",851
"ENSRNOG00000066385",7
"ENSRNOG00000027026",837
"ENSRNOG00000071067",0
"ENSRNOG00000068334",1
"ENSRNOG00000068552",6
"ENSRNOG00000057556",1822
"ENSRNOG00000064378",52
"ENSRNOG00000070662",1
"ENSRNOG00000068681",0
"ENSRNOG00000064013",18
"ENSRNOG00000064657",0
"ENSRNOG00000067696",128
"ENSRNOG00000008611",78
"ENSRNOG00000063527",21
"ENSRNOG00000070718",0
"ENSRNOG00000071037",3
"ENSRNOG00000010301",382
"ENSRNOG00000063884",0
"ENSRNOG00000065564",0
"ENSRNOG00000009564",15
"ENSRNOG00000069567",0
"ENSRNOG00000032820",18
"ENSRNOG00000068340",3
"ENSRNOG00000006508",124
"ENSRNOG00000009971",415
"ENSRNOG00000066402",50
"ENSRNOG00000068865",0
"ENSRNOG00000046361",236
"ENSRNOG00000067191",237
"ENSRNOG00000065931",0
"ENSRNOG00000067030",1
"ENSRNOG00000036925",2
"ENSRNOG00000070829",6
"ENSRNOG00000012235",0
"ENSRNOG00000069850",0
"ENSRNOG00000064090",6116
"ENSRNOG00000008658",160
"ENSRNOG00000065425",0
"ENSRNOG00000009636",1775
"ENSRNOG00000001851",4
"ENSRNOG00000065573",3
"ENSRNOG00000069964",0
"ENSRNOG00000069763",0
"ENSRNOG00000067480",0
"ENSRNOG00000009886",1286
"ENSRNOG00000001852",331
"ENSRNOG00000008546",308
"ENSRNOG00000065102",36
"ENSRNOG00000066379",0
"ENSRNOG00000069297",4
"ENSRNOG00000070845",0
"ENSRNOG00000065171",0
"ENSRNOG00000066753",0
"ENSRNOG00000011530",288
"ENSRNOG00000063239",0
"ENSRNOG00000063394",0
"ENSRNOG00000070566",0
"ENSRNOG00000048782",0
"ENSRNOG00000067400",0
"ENSRNOG00000010629",486
"ENSRNOG00000070017",0
"ENSRNOG00000067625",0
"ENSRNOG00000068110",380
"ENSRNOG00000006806",100
"ENSRNOG00000063404",0
"ENSRNOG00000062416",43
"ENSRNOG00000064089",0
"ENSRNOG00000063045",0
"ENSRNOG00000063868",0
"ENSRNOG00000062677",0
"ENSRNOG00000006813",968
"ENSRNOG00000068748",0
"ENSRNOG00000009097",2643
"ENSRNOG00000069247",0
"ENSRNOG00000062780",13
"ENSRNOG00000069346",3
"ENSRNOG00000067260",6
"ENSRNOG00000053654",179
"ENSRNOG00000069862",1
"ENSRNOG00000066850",149
"ENSRNOG00000066817",0
"ENSRNOG00000068855",2
"ENSRNOG00000066550",0
"ENSRNOG00000062509",830
"ENSRNOG00000054974",0
"ENSRNOG00000054781",0
"ENSRNOG00000062979",0
"ENSRNOG00000062716",8
"ENSRNOG00000045771",0
"ENSRNOG00000063160",0
"ENSRNOG00000063874",0
"ENSRNOG00000068329",0
"ENSRNOG00000066751",25
"ENSRNOG00000065579",0
"ENSRNOG00000062584",0
"ENSRNOG00000007152",1491
"ENSRNOG00000005433",98
"ENSRNOG00000012975",4769
"ENSRNOG00000062691",2
"ENSRNOG00000005734",0
"ENSRNOG00000009484",842
"ENSRNOG00000056462",1608
"ENSRNOG00000005830",0
"ENSRNOG00000009545",820
"ENSRNOG00000005686",3111
"ENSRNOG00000069901",0
"ENSRNOG00000028422",551
"ENSRNOG00000006776",2
"ENSRNOG00000047023",3
"ENSRNOG00000007124",1699
"ENSRNOG00000005652",0
"ENSRNOG00000007129",0
"ENSRNOG00000010284",629
"ENSRNOG00000066431",0
"ENSRNOG00000007881",249
"ENSRNOG00000038102",302
"ENSRNOG00000005798",242
"ENSRNOG00000021938",0
"ENSRNOG00000005806",1
"ENSRNOG00000006432",378
"ENSRNOG00000014090",2172
"ENSRNOG00000006534",380
"ENSRNOG00000005954",0
"ENSRNOG00000005690",383
"ENSRNOG00000007764",457
"ENSRNOG00000063676",4
"ENSRNOG00000005662",0
"ENSRNOG00000005697",0
"ENSRNOG00000006144",0
"ENSRNOG00000055860",6400
"ENSRNOG00000055365",2219
"ENSRNOG00000006221",1014
"ENSRNOG00000006818",2146
"ENSRNOG00000013390",29
"ENSRNOG00000060175",213
"ENSRNOG00000010258",2131
"ENSRNOG00000009934",3204
"ENSRNOG00000009204",915
"ENSRNOG00000010184",1684
"ENSRNOG00000007104",1507
"ENSRNOG00000065903",0
"ENSRNOG00000006941",192
"ENSRNOG00000007472",5547
"ENSRNOG00000011614",511
"ENSRNOG00000032517",0
"ENSRNOG00000068733",0
"ENSRNOG00000023077",3
"ENSRNOG00000009175",574
"ENSRNOG00000013526",19
"ENSRNOG00000023465",6
"ENSRNOG00000061085",494
"ENSRNOG00000070535",0
"ENSRNOG00000010177",1
"ENSRNOG00000005907",132
"ENSRNOG00000006509",2232
"ENSRNOG00000067090",0
"ENSRNOG00000069624",0
"ENSRNOG00000008597",1486
"ENSRNOG00000008994",4574
"ENSRNOG00000009032",100
"ENSRNOG00000013379",545
"ENSRNOG00000025251",1
"ENSRNOG00000009084",240
"ENSRNOG00000042482",534
"ENSRNOG00000071218",1661
"ENSRNOG00000016143",97
"ENSRNOG00000071219",0
"ENSRNOG00000033395",0
"ENSRNOG00000066660",394
"ENSRNOG00000067593",0
"ENSRNOG00000029996",49966
"ENSRNOG00000062643",0
"ENSRNOG00000009377",372
"ENSRNOG00000015499",2
"ENSRNOG00000069518",0
"ENSRNOG00000004753",225
"ENSRNOG00000020317",1934
"ENSRNOG00000065800",18
"ENSRNOG00000010595",351
"ENSRNOG00000062311",0
"ENSRNOG00000020337",1
"ENSRNOG00000065122",224
"ENSRNOG00000070655",0
"ENSRNOG00000062759",0
"ENSRNOG00000015184",34
"ENSRNOG00000070996",670
"ENSRNOG00000027016",1543
"ENSRNOG00000065756",265
"ENSRNOG00000013074",11
"ENSRNOG00000004967",368
"ENSRNOG00000030825",0
"ENSRNOG00000063357",2
"ENSRNOG00000015294",402
"ENSRNOG00000056110",0
"ENSRNOG00000028721",1
"ENSRNOG00000067832",22
"ENSRNOG00000064622",0
"ENSRNOG00000067778",0
"ENSRNOG00000022491",87
"ENSRNOG00000051199",0
"ENSRNOG00000028095",0
"ENSRNOG00000068179",11
"ENSRNOG00000065362",0
"ENSRNOG00000065452",2
"ENSRNOG00000006731",294
"ENSRNOG00000067357",0
"ENSRNOG00000008282",0
"ENSRNOG00000064568",45
"ENSRNOG00000052014",0
"ENSRNOG00000011758",1315
"ENSRNOG00000004679",246
"ENSRNOG00000037833",0
"ENSRNOG00000010616",267
"ENSRNOG00000069366",373
"ENSRNOG00000037356",153
"ENSRNOG00000070165",0
"ENSRNOG00000018441",205
"ENSRNOG00000008738",82
"ENSRNOG00000007979",335
"ENSRNOG00000040275",0
"ENSRNOG00000062792",0
"ENSRNOG00000069588",0
"ENSRNOG00000004852",0
"ENSRNOG00000016189",22
"ENSRNOG00000008758",366
"ENSRNOG00000009764",0
"ENSRNOG00000052180",0
"ENSRNOG00000011830",630
"ENSRNOG00000070507",0
"ENSRNOG00000066688",0
"ENSRNOG00000063734",0
"ENSRNOG00000065294",0
"ENSRNOG00000004645",1
"ENSRNOG00000058157",392
"ENSRNOG00000062953",0
"ENSRNOG00000018755",276
"ENSRNOG00000005921",0
"ENSRNOG00000070505",0
"ENSRNOG00000065842",0
"ENSRNOG00000021472",0
"ENSRNOG00000006753",0
"ENSRNOG00000060327",0
"ENSRNOG00000063784",0
"ENSRNOG00000001589",0
"ENSRNOG00000052091",0
"ENSRNOG00000052454",0
"ENSRNOG00000070396",0
"ENSRNOG00000068411",0
"ENSRNOG00000013102",2664
"ENSRNOG00000058310",0
"ENSRNOG00000063685",0
"ENSRNOG00000067379",0
"ENSRNOG00000058919",0
"ENSRNOG00000017291",1568
"ENSRNOG00000062610",0
"ENSRNOG00000008663",413
"ENSRNOG00000063622",0
"ENSRNOG00000000009",0
"ENSRNOG00000069765",0
"ENSRNOG00000069407",0
"ENSRNOG00000015928",155
"ENSRNOG00000053212",0
"ENSRNOG00000068161",0
"ENSRNOG00000070663",0
"ENSRNOG00000006397",1
"ENSRNOG00000006803",2468
"ENSRNOG00000051665",0
"ENSRNOG00000006408",0
"ENSRNOG00000059732",0
"ENSRNOG00000062585",0
"ENSRNOG00000064878",0
"ENSRNOG00000055168",0
"ENSRNOG00000007416",120
"ENSRNOG00000016179",0
"ENSRNOG00000025141",253
"ENSRNOG00000057910",0
"ENSRNOG00000018964",270
"ENSRNOG00000033543",0
"ENSRNOG00000057796",0
"ENSRNOG00000069900",47
"ENSRNOG00000069943",0
"ENSRNOG00000033863",410
"ENSRNOG00000006419",75
"ENSRNOG00000064386",0
"ENSRNOG00000032712",0
"ENSRNOG00000047508",6
"ENSRNOG00000043106",0
"ENSRNOG00000058641",0
"ENSRNOG00000067830",23
"ENSRNOG00000069097",0
"ENSRNOG00000068071",0
"ENSRNOG00000066288",14
"ENSRNOG00000063143",0
"ENSRNOG00000011195",1542
"ENSRNOG00000018997",43
"ENSRNOG00000013069",113
"ENSRNOG00000066089",0
"ENSRNOG00000009152",11547
"ENSRNOG00000069475",0
"ENSRNOG00000018491",270
"ENSRNOG00000068593",0
"ENSRNOG00000062632",0
"ENSRNOG00000004784",160
"ENSRNOG00000012580",115
"ENSRNOG00000065185",0
"ENSRNOG00000005162",0
"ENSRNOG00000067634",0
"ENSRNOG00000057196",0
"ENSRNOG00000070613",0
"ENSRNOG00000059436",0
"ENSRNOG00000065604",0
"ENSRNOG00000059616",0
"ENSRNOG00000061294",0
"ENSRNOG00000019152",2955
"ENSRNOG00000059349",0
"ENSRNOG00000070069",0
"ENSRNOG00000006645",8
"ENSRNOG00000067839",0
"ENSRNOG00000004783",463
"ENSRNOG00000062892",6
"ENSRNOG00000063356",0
"ENSRNOG00000060569",0
"ENSRNOG00000010131",761
"ENSRNOG00000070048",0
"ENSRNOG00000060756",0
"ENSRNOG00000021240",3410
"ENSRNOG00000067797",0
"ENSRNOG00000067541",1
"ENSRNOG00000062560",0
"ENSRNOG00000065360",1
"ENSRNOG00000058385",0
"ENSRNOG00000049721",0
"ENSRNOG00000070734",0
"ENSRNOG00000062547",3
"ENSRNOG00000052197",0
"ENSRNOG00000063688",0
"ENSRNOG00000051709",0
"ENSRNOG00000065630",688
"ENSRNOG00000012021",304
"ENSRNOG00000058806",0
"ENSRNOG00000005479",1
"ENSRNOG00000063131",0
"ENSRNOG00000052573",5
"ENSRNOG00000017063",0
"ENSRNOG00000004912",7006
"ENSRNOG00000063473",0
"ENSRNOG00000052463",0
"ENSRNOG00000031840",0
"ENSRNOG00000059132",1
