"","LHNS1_aligned.bam"
"ENSRNOG00000018666",792
"ENSRNOG00000068068",0
"ENSRNOG00000021272",34
"ENSRNOG00000006783",25
"ENSRNOG00000042821",749
"ENSRNOG00000006378",1280
"ENSRNOG00000018791",99
"ENSRNOG00000030790",4951
"ENSRNOG00000011785",1272
"ENSRNOG00000004891",483
"ENSRNOG00000021273",235
"ENSRNOG00000069087",1010
"ENSRNOG00000051470",0
"ENSRNOG00000032989",13
"ENSRNOG00000045555",493
"ENSRNOG00000062743",0
"ENSRNOG00000012089",426
"ENSRNOG00000068677",34
"ENSRNOG00000057284",435
"ENSRNOG00000019723",434
"ENSRNOG00000018845",152
"ENSRNOG00000021221",554
"ENSRNOG00000026346",0
"ENSRNOG00000021247",0
"ENSRNOG00000004730",1614
"ENSRNOG00000004863",67
"ENSRNOG00000010361",424
"ENSRNOG00000009195",1035
"ENSRNOG00000067385",0
"ENSRNOG00000013760",0
"ENSRNOG00000042576",556
"ENSRNOG00000058597",0
"ENSRNOG00000069362",0
"ENSRNOG00000021248",564
"ENSRNOG00000032412",0
"ENSRNOG00000005884",395
"ENSRNOG00000021222",165
"ENSRNOG00000068047",0
"ENSRNOG00000053099",0
"ENSRNOG00000053696",0
"ENSRNOG00000045997",959
"ENSRNOG00000008170",1267
"ENSRNOG00000028779",0
"ENSRNOG00000004755",435
"ENSRNOG00000005545",0
"ENSRNOG00000063191",228
"ENSRNOG00000009662",0
"ENSRNOG00000014483",590
"ENSRNOG00000066298",1
"ENSRNOG00000019948",407
"ENSRNOG00000004779",0
"ENSRNOG00000004918",4
"ENSRNOG00000027392",0
"ENSRNOG00000032769",0
"ENSRNOG00000007805",182
"ENSRNOG00000066683",28
"ENSRNOG00000025360",3
"ENSRNOG00000004808",0
"ENSRNOG00000036952",0
"ENSRNOG00000021223",1094
"ENSRNOG00000004742",693
"ENSRNOG00000070752",0
"ENSRNOG00000005037",23
"ENSRNOG00000005195",5350
"ENSRNOG00000021229",0
"ENSRNOG00000063072",0
"ENSRNOG00000004989",0
"ENSRNOG00000008364",1061
"ENSRNOG00000064942",0
"ENSRNOG00000021230",156
"ENSRNOG00000007525",0
"ENSRNOG00000047422",0
"ENSRNOG00000021264",703
"ENSRNOG00000006027",485
"ENSRNOG00000013437",32
"ENSRNOG00000067005",0
"ENSRNOG00000021259",16
"ENSRNOG00000033761",0
"ENSRNOG00000065354",3
"ENSRNOG00000018488",0
"ENSRNOG00000053270",164
"ENSRNOG00000033020",0
"ENSRNOG00000070982",0
"ENSRNOG00000022710",120
"ENSRNOG00000021241",18
"ENSRNOG00000048417",0
"ENSRNOG00000007427",48
"ENSRNOG00000064907",0
"ENSRNOG00000031536",19
"ENSRNOG00000012172",3
"ENSRNOG00000062998",0
"ENSRNOG00000069271",2
"ENSRNOG00000007102",29
"ENSRNOG00000046699",0
"ENSRNOG00000027900",0
"ENSRNOG00000042220",0
"ENSRNOG00000030857",0
"ENSRNOG00000027821",0
"ENSRNOG00000006921",193
"ENSRNOG00000021255",10
"ENSRNOG00000012307",1
"ENSRNOG00000005006",127
"ENSRNOG00000033983",0
"ENSRNOG00000017701",0
"ENSRNOG00000017161",0
"ENSRNOG00000027747",135
"ENSRNOG00000005483",472
"ENSRNOG00000010816",3
"ENSRNOG00000010868",0
"ENSRNOG00000059519",1
"ENSRNOG00000057458",72
"ENSRNOG00000021266",0
"ENSRNOG00000005438",0
"ENSRNOG00000051005",1
"ENSRNOG00000004920",0
"ENSRNOG00000057476",25
"ENSRNOG00000014021",43
"ENSRNOG00000004443",0
"ENSRNOG00000005183",610
"ENSRNOG00000007440",155
"ENSRNOG00000021260",8
"ENSRNOG00000028008",0
"ENSRNOG00000021224",329
"ENSRNOG00000026295",179
"ENSRNOG00000007548",313
"ENSRNOG00000021274",0
"ENSRNOG00000019330",16
"ENSRNOG00000007972",368
"ENSRNOG00000004921",134
"ENSRNOG00000007408",15
"ENSRNOG00000063588",0
"ENSRNOG00000068037",0
"ENSRNOG00000064038",0
"ENSRNOG00000025384",393
"ENSRNOG00000008411",1011
"ENSRNOG00000021265",639
"ENSRNOG00000009495",1129
"ENSRNOG00000007457",3
"ENSRNOG00000007512",208
"ENSRNOG00000031085",2216
"ENSRNOG00000017283",17
"ENSRNOG00000012568",211
"ENSRNOG00000006795",214
"ENSRNOG00000011649",6
"ENSRNOG00000030467",103
"ENSRNOG00000050784",6
"ENSRNOG00000005058",363
"ENSRNOG00000014480",2836
"ENSRNOG00000007516",0
"ENSRNOG00000004777",172
"ENSRNOG00000071065",10
"ENSRNOG00000026215",25
"ENSRNOG00000024852",915
"ENSRNOG00000012290",0
"ENSRNOG00000009076",1050
"ENSRNOG00000007584",443
"ENSRNOG00000006695",935
"ENSRNOG00000008243",274
"ENSRNOG00000004874",123
"ENSRNOG00000067071",25
"ENSRNOG00000016636",245
"ENSRNOG00000062960",0
"ENSRNOG00000012368",31
"ENSRNOG00000063431",0
"ENSRNOG00000022335",0
"ENSRNOG00000028266",0
"ENSRNOG00000006850",0
"ENSRNOG00000016734",5
"ENSRNOG00000067135",0
"ENSRNOG00000067506",0
"ENSRNOG00000069867",0
"ENSRNOG00000010035",0
"ENSRNOG00000006705",57
"ENSRNOG00000011059",391
"ENSRNOG00000008746",154
"ENSRNOG00000069397",0
"ENSRNOG00000010666",4653
"ENSRNOG00000067094",2
"ENSRNOG00000009969",0
"ENSRNOG00000013172",28
"ENSRNOG00000068185",0
"ENSRNOG00000007430",134
"ENSRNOG00000066616",3
"ENSRNOG00000056526",436
"ENSRNOG00000012528",168
"ENSRNOG00000013776",0
"ENSRNOG00000063104",0
"ENSRNOG00000036971",58
"ENSRNOG00000024882",439
"ENSRNOG00000018557",0
"ENSRNOG00000031356",0
"ENSRNOG00000058586",171
"ENSRNOG00000007319",1787
"ENSRNOG00000013594",826
"ENSRNOG00000053201",101
"ENSRNOG00000013778",0
"ENSRNOG00000070361",0
"ENSRNOG00000053114",0
"ENSRNOG00000064867",0
"ENSRNOG00000012728",14
"ENSRNOG00000005111",6
"ENSRNOG00000062388",0
"ENSRNOG00000055769",30
"ENSRNOG00000047611",289
"ENSRNOG00000054563",498
"ENSRNOG00000009180",0
"ENSRNOG00000007443",7063
"ENSRNOG00000004787",62
"ENSRNOG00000007018",226
"ENSRNOG00000052603",1
"ENSRNOG00000005308",740
"ENSRNOG00000005276",1968
"ENSRNOG00000014071",96
"ENSRNOG00000010945",4039
"ENSRNOG00000021256",2
"ENSRNOG00000005284",4
"ENSRNOG00000006050",200
"ENSRNOG00000068997",0
"ENSRNOG00000012197",0
"ENSRNOG00000010472",179
"ENSRNOG00000021261",4
"ENSRNOG00000006832",2696
"ENSRNOG00000004829",109
"ENSRNOG00000059455",0
"ENSRNOG00000014102",1
"ENSRNOG00000063194",19
"ENSRNOG00000064429",751
"ENSRNOG00000038004",0
"ENSRNOG00000015550",3
"ENSRNOG00000021750",234
"ENSRNOG00000025130",7
"ENSRNOG00000030827",0
"ENSRNOG00000021249",238
"ENSRNOG00000014272",4144
"ENSRNOG00000060791",0
"ENSRNOG00000005715",341
"ENSRNOG00000036900",0
"ENSRNOG00000070953",0
"ENSRNOG00000007782",0
"ENSRNOG00000023195",0
"ENSRNOG00000014317",230
"ENSRNOG00000070171",0
"ENSRNOG00000010428",1069
"ENSRNOG00000063262",0
"ENSRNOG00000005780",184
"ENSRNOG00000043043",0
"ENSRNOG00000010101",203
"ENSRNOG00000005184",288
"ENSRNOG00000015187",74
"ENSRNOG00000068011",7
"ENSRNOG00000062726",0
"ENSRNOG00000014338",100
"ENSRNOG00000066948",0
"ENSRNOG00000004601",0
"ENSRNOG00000028668",6
"ENSRNOG00000014204",359
"ENSRNOG00000009399",0
"ENSRNOG00000005840",0
"ENSRNOG00000071010",7
"ENSRNOG00000014493",255
"ENSRNOG00000005900",278
"ENSRNOG00000068950",0
"ENSRNOG00000032605",2691
"ENSRNOG00000004842",38
"ENSRNOG00000047530",0
"ENSRNOG00000008088",223
"ENSRNOG00000017044",3
"ENSRNOG00000069598",3
"ENSRNOG00000019118",0
"ENSRNOG00000055374",0
"ENSRNOG00000005902",52
"ENSRNOG00000000169",47
"ENSRNOG00000028254",109
"ENSRNOG00000069282",2
"ENSRNOG00000009461",0
"ENSRNOG00000056255",0
"ENSRNOG00000007738",1580
"ENSRNOG00000008316",1103
"ENSRNOG00000054840",84
"ENSRNOG00000009586",0
"ENSRNOG00000015145",608
"ENSRNOG00000067107",0
"ENSRNOG00000009139",536
"ENSRNOG00000017983",258
"ENSRNOG00000033348",1
"ENSRNOG00000021262",923
"ENSRNOG00000022660",3
"ENSRNOG00000069487",0
"ENSRNOG00000056471",0
"ENSRNOG00000031763",0
"ENSRNOG00000005509",2
"ENSRNOG00000068352",0
"ENSRNOG00000030460",0
"ENSRNOG00000023384",0
"ENSRNOG00000009624",0
"ENSRNOG00000015525",305
"ENSRNOG00000010262",5
"ENSRNOG00000066486",0
"ENSRNOG00000060217",0
"ENSRNOG00000025713",0
"ENSRNOG00000017157",43
"ENSRNOG00000032700",678
"ENSRNOG00000061603",1156
"ENSRNOG00000051431",0
"ENSRNOG00000008003",0
"ENSRNOG00000015735",313
"ENSRNOG00000009648",0
"ENSRNOG00000012738",1207
"ENSRNOG00000058755",0
"ENSRNOG00000010551",27
"ENSRNOG00000004700",129
"ENSRNOG00000015744",12
"ENSRNOG00000007242",696
"ENSRNOG00000037178",0
"ENSRNOG00000036782",0
"ENSRNOG00000037146",0
"ENSRNOG00000064442",48
"ENSRNOG00000025498",29
"ENSRNOG00000017883",934
"ENSRNOG00000063022",0
"ENSRNOG00000063950",0
"ENSRNOG00000013380",0
"ENSRNOG00000065847",0
"ENSRNOG00000006418",134
"ENSRNOG00000009640",811
"ENSRNOG00000005958",1024
"ENSRNOG00000009670",0
"ENSRNOG00000051490",1358
"ENSRNOG00000031598",1
"ENSRNOG00000065317",0
"ENSRNOG00000042374",77
"ENSRNOG00000063946",0
"ENSRNOG00000022178",1
"ENSRNOG00000025278",398
"ENSRNOG00000050190",5
"ENSRNOG00000005196",1012
"ENSRNOG00000032635",22733
"ENSRNOG00000062572",0
"ENSRNOG00000014739",52
"ENSRNOG00000042407",0
"ENSRNOG00000009952",0
"ENSRNOG00000027988",568
"ENSRNOG00000000170",897
"ENSRNOG00000068653",0
"ENSRNOG00000052294",13
"ENSRNOG00000005719",495
"ENSRNOG00000070931",0
"ENSRNOG00000014268",1713
"ENSRNOG00000008283",1163
"ENSRNOG00000042526",5
"ENSRNOG00000066461",0
"ENSRNOG00000070081",0
"ENSRNOG00000068036",0
"ENSRNOG00000066294",0
"ENSRNOG00000028908",16
"ENSRNOG00000068526",0
"ENSRNOG00000018005",2
"ENSRNOG00000063100",0
"ENSRNOG00000014771",3
"ENSRNOG00000006032",0
"ENSRNOG00000016795",1103
"ENSRNOG00000070932",0
"ENSRNOG00000028685",23
"ENSRNOG00000008135",4
"ENSRNOG00000062543",285
"ENSRNOG00000016870",1012
"ENSRNOG00000027955",71
"ENSRNOG00000062385",0
"ENSRNOG00000031823",0
"ENSRNOG00000065007",0
"ENSRNOG00000069793",0
"ENSRNOG00000027434",171
"ENSRNOG00000062364",0
"ENSRNOG00000069408",0
"ENSRNOG00000036777",0
"ENSRNOG00000019388",78
"ENSRNOG00000037514",1321
"ENSRNOG00000068989",0
"ENSRNOG00000004677",1319
"ENSRNOG00000031380",0
"ENSRNOG00000026067",0
"ENSRNOG00000010050",678
"ENSRNOG00000008146",3
"ENSRNOG00000004810",0
"ENSRNOG00000045801",0
"ENSRNOG00000065546",3
"ENSRNOG00000019466",398
"ENSRNOG00000004410",0
"ENSRNOG00000010477",928
"ENSRNOG00000045656",0
"ENSRNOG00000014794",0
"ENSRNOG00000004812",21
"ENSRNOG00000014807",0
"ENSRNOG00000011467",257
"ENSRNOG00000013452",4687
"ENSRNOG00000063397",35
"ENSRNOG00000025931",0
"ENSRNOG00000039906",0
"ENSRNOG00000046958",18
"ENSRNOG00000005707",1
"ENSRNOG00000062576",0
"ENSRNOG00000022586",586
"ENSRNOG00000042162",0
"ENSRNOG00000047427",530
"ENSRNOG00000070174",0
"ENSRNOG00000017290",919
"ENSRNOG00000062366",52
"ENSRNOG00000066433",0
"ENSRNOG00000050780",361
"ENSRNOG00000004951",269
"ENSRNOG00000065048",20
"ENSRNOG00000014933",437
"ENSRNOG00000031168",0
"ENSRNOG00000018574",821
"ENSRNOG00000064101",16
"ENSRNOG00000032177",0
"ENSRNOG00000009218",0
"ENSRNOG00000005031",237
"ENSRNOG00000065075",0
"ENSRNOG00000014156",0
"ENSRNOG00000014297",3713
"ENSRNOG00000005924",4876
"ENSRNOG00000031167",31
"ENSRNOG00000006142",0
"ENSRNOG00000070417",0
"ENSRNOG00000059507",0
"ENSRNOG00000024799",25
"ENSRNOG00000065733",0
"ENSRNOG00000027742",1
"ENSRNOG00000024904",0
"ENSRNOG00000019322",885
"ENSRNOG00000015131",203
"ENSRNOG00000014690",4510
"ENSRNOG00000063498",0
"ENSRNOG00000069651",0
"ENSRNOG00000015797",61
"ENSRNOG00000005247",0
"ENSRNOG00000046942",0
"ENSRNOG00000015155",5
"ENSRNOG00000066870",0
"ENSRNOG00000016272",2222
"ENSRNOG00000012157",2269
"ENSRNOG00000031038",98
"ENSRNOG00000015857",18659
"ENSRNOG00000016584",32
"ENSRNOG00000010528",158
"ENSRNOG00000037207",1367
"ENSRNOG00000053240",983
"ENSRNOG00000027432",0
"ENSRNOG00000027911",0
"ENSRNOG00000070414",3
"ENSRNOG00000047466",607
"ENSRNOG00000055534",0
"ENSRNOG00000005158",10
"ENSRNOG00000004532",190
"ENSRNOG00000013681",0
"ENSRNOG00000055829",0
"ENSRNOG00000018649",778
"ENSRNOG00000027867",303
"ENSRNOG00000007542",1
"ENSRNOG00000008895",0
"ENSRNOG00000049280",0
"ENSRNOG00000005258",221
"ENSRNOG00000064719",0
"ENSRNOG00000012638",369
"ENSRNOG00000007681",1772
"ENSRNOG00000005814",102
"ENSRNOG00000012762",501
"ENSRNOG00000008212",977
"ENSRNOG00000028701",95
"ENSRNOG00000013862",0
"ENSRNOG00000007461",106
"ENSRNOG00000011778",64
"ENSRNOG00000064354",0
"ENSRNOG00000030243",1
"ENSRNOG00000024335",252
"ENSRNOG00000004493",27
"ENSRNOG00000008744",1005
"ENSRNOG00000033573",0
"ENSRNOG00000029895",0
"ENSRNOG00000005792",0
"ENSRNOG00000023874",297
"ENSRNOG00000063286",0
"ENSRNOG00000007422",75
"ENSRNOG00000028674",634
"ENSRNOG00000016488",668
"ENSRNOG00000009289",597
"ENSRNOG00000071101",2116
"ENSRNOG00000015396",5168
"ENSRNOG00000024808",50
"ENSRNOG00000014387",697
"ENSRNOG00000018231",1359
"ENSRNOG00000007692",681
"ENSRNOG00000029799",1334
"ENSRNOG00000009334",72
"ENSRNOG00000013479",2035
"ENSRNOG00000031760",307
"ENSRNOG00000037124",32
"ENSRNOG00000009421",833
"ENSRNOG00000025580",1818
"ENSRNOG00000018876",448
"ENSRNOG00000018111",58
"ENSRNOG00000005178",0
"ENSRNOG00000037203",1
"ENSRNOG00000004731",0
"ENSRNOG00000009425",84
"ENSRNOG00000006641",5
"ENSRNOG00000010574",1032
"ENSRNOG00000006077",802
"ENSRNOG00000017123",8008
"ENSRNOG00000004703",0
"ENSRNOG00000009593",126
"ENSRNOG00000067444",17429
"ENSRNOG00000053122",11
"ENSRNOG00000007221",156
"ENSRNOG00000043037",105
"ENSRNOG00000009446",461
"ENSRNOG00000013529",563
"ENSRNOG00000065707",0
"ENSRNOG00000006037",0
"ENSRNOG00000065372",0
"ENSRNOG00000026775",562
"ENSRNOG00000014152",87
"ENSRNOG00000063085",0
"ENSRNOG00000037302",65
"ENSRNOG00000011353",0
"ENSRNOG00000009549",673
"ENSRNOG00000020086",544
"ENSRNOG00000028196",48
"ENSRNOG00000007906",182
"ENSRNOG00000006916",684
"ENSRNOG00000063276",0
"ENSRNOG00000066633",0
"ENSRNOG00000019039",399
"ENSRNOG00000010791",24
"ENSRNOG00000004898",0
"ENSRNOG00000005059",300
"ENSRNOG00000006639",0
"ENSRNOG00000014710",1
"ENSRNOG00000012262",28
"ENSRNOG00000028112",0
"ENSRNOG00000070974",405
"ENSRNOG00000054314",140
"ENSRNOG00000000172",576
"ENSRNOG00000026053",2797
"ENSRNOG00000062398",0
"ENSRNOG00000000168",109
"ENSRNOG00000019122",5048
"ENSRNOG00000005334",96
"ENSRNOG00000011690",221
"ENSRNOG00000055449",0
"ENSRNOG00000029342",0
"ENSRNOG00000015599",8
"ENSRNOG00000060005",694
"ENSRNOG00000062684",0
"ENSRNOG00000064484",0
"ENSRNOG00000018747",3007
"ENSRNOG00000051627",271
"ENSRNOG00000066394",0
"ENSRNOG00000015636",164
"ENSRNOG00000064346",0
"ENSRNOG00000043494",0
"ENSRNOG00000016459",296
"ENSRNOG00000067536",0
"ENSRNOG00000067433",0
"ENSRNOG00000068386",0
"ENSRNOG00000070193",37
"ENSRNOG00000016357",1091
"ENSRNOG00000017513",221
"ENSRNOG00000031478",0
"ENSRNOG00000065412",0
"ENSRNOG00000005021",180
"ENSRNOG00000070991",0
"ENSRNOG00000008297",446
"ENSRNOG00000050072",37
"ENSRNOG00000017663",196
"ENSRNOG00000062919",0
"ENSRNOG00000071011",0
"ENSRNOG00000066832",389
"ENSRNOG00000019099",165
"ENSRNOG00000021954",837
"ENSRNOG00000019110",0
"ENSRNOG00000007447",51
"ENSRNOG00000010883",197
"ENSRNOG00000018427",6
"ENSRNOG00000008912",1261
"ENSRNOG00000027596",761
"ENSRNOG00000068716",0
"ENSRNOG00000017550",171
"ENSRNOG00000059260",8
"ENSRNOG00000065438",0
"ENSRNOG00000032386",0
"ENSRNOG00000004938",0
"ENSRNOG00000004740",391
"ENSRNOG00000012175",13
"ENSRNOG00000012697",9
"ENSRNOG00000005018",101
"ENSRNOG00000005366",10
"ENSRNOG00000008629",1238
"ENSRNOG00000054560",57
"ENSRNOG00000071044",137
"ENSRNOG00000012761",6
"ENSRNOG00000015854",11
"ENSRNOG00000064432",32
"ENSRNOG00000010981",774
"ENSRNOG00000017061",0
"ENSRNOG00000068044",3
"ENSRNOG00000014011",0
"ENSRNOG00000046655",0
"ENSRNOG00000004614",0
"ENSRNOG00000033429",6
"ENSRNOG00000059243",19
"ENSRNOG00000009342",0
"ENSRNOG00000012906",0
"ENSRNOG00000064158",17
"ENSRNOG00000007981",173
"ENSRNOG00000065620",10
"ENSRNOG00000011652",541
"ENSRNOG00000063763",0
"ENSRNOG00000068416",0
"ENSRNOG00000013209",0
"ENSRNOG00000066103",0
"ENSRNOG00000062482",0
"ENSRNOG00000063885",24
"ENSRNOG00000022514",402
"ENSRNOG00000007127",61
"ENSRNOG00000067722",0
"ENSRNOG00000008484",3
"ENSRNOG00000060571",2390
"ENSRNOG00000013933",345
"ENSRNOG00000007285",57
"ENSRNOG00000009196",1091
"ENSRNOG00000048433",0
"ENSRNOG00000050650",53
"ENSRNOG00000062737",0
"ENSRNOG00000026604",37
"ENSRNOG00000009340",198
"ENSRNOG00000006952",0
"ENSRNOG00000005367",0
"ENSRNOG00000067798",0
"ENSRNOG00000057545",0
"ENSRNOG00000005679",0
"ENSRNOG00000018687",379
"ENSRNOG00000064408",0
"ENSRNOG00000009346",121
"ENSRNOG00000029508",0
"ENSRNOG00000010975",1765
"ENSRNOG00000049034",1184
"ENSRNOG00000010219",317
"ENSRNOG00000010993",145
"ENSRNOG00000069270",5
"ENSRNOG00000010897",1164
"ENSRNOG00000039315",3
"ENSRNOG00000012750",2
"ENSRNOG00000023589",834
"ENSRNOG00000050262",2
"ENSRNOG00000043189",266
"ENSRNOG00000009402",986
"ENSRNOG00000006227",197
"ENSRNOG00000007302",12076
"ENSRNOG00000049484",31
"ENSRNOG00000026691",162
"ENSRNOG00000015420",1089
"ENSRNOG00000011732",463
"ENSRNOG00000025296",903
"ENSRNOG00000042269",93
"ENSRNOG00000009403",256
"ENSRNOG00000029470",81
"ENSRNOG00000039777",127
"ENSRNOG00000047356",2782
"ENSRNOG00000050035",0
"ENSRNOG00000010150",210
"ENSRNOG00000008616",997
"ENSRNOG00000022603",0
"ENSRNOG00000017019",0
"ENSRNOG00000013491",391
"ENSRNOG00000017172",863
"ENSRNOG00000019203",1
"ENSRNOG00000011379",215
"ENSRNOG00000027502",53
"ENSRNOG00000030022",0
"ENSRNOG00000006839",1124
"ENSRNOG00000071171",0
"ENSRNOG00000013196",75
"ENSRNOG00000062624",7
"ENSRNOG00000017319",18
"ENSRNOG00000006829",0
"ENSRNOG00000057044",44
"ENSRNOG00000014316",1795
"ENSRNOG00000008354",547
"ENSRNOG00000027447",1163
"ENSRNOG00000017395",3
"ENSRNOG00000009207",893
"ENSRNOG00000018294",3496
"ENSRNOG00000027193",554
"ENSRNOG00000005007",9
"ENSRNOG00000060821",1279
"ENSRNOG00000005335",3
"ENSRNOG00000015445",0
"ENSRNOG00000009862",11
"ENSRNOG00000009594",1245
"ENSRNOG00000018591",224
"ENSRNOG00000069269",0
"ENSRNOG00000017805",0
"ENSRNOG00000065543",1907
"ENSRNOG00000014532",60
"ENSRNOG00000050792",97
"ENSRNOG00000018349",182
"ENSRNOG00000009552",4079
"ENSRNOG00000008749",13889
"ENSRNOG00000010217",8129
"ENSRNOG00000056087",5
"ENSRNOG00000010659",225
"ENSRNOG00000010235",1578
"ENSRNOG00000010265",102
"ENSRNOG00000065817",60
"ENSRNOG00000028805",53
"ENSRNOG00000015845",2014
"ENSRNOG00000050932",101
"ENSRNOG00000010526",955
"ENSRNOG00000037134",26
"ENSRNOG00000023386",2959
"ENSRNOG00000011470",616
"ENSRNOG00000017539",4
"ENSRNOG00000026277",212
"ENSRNOG00000017017",213
"ENSRNOG00000005616",699
"ENSRNOG00000016794",211
"ENSRNOG00000068184",6
"ENSRNOG00000022312",181
"ENSRNOG00000054725",495
"ENSRNOG00000006052",4607
"ENSRNOG00000009300",881
"ENSRNOG00000013040",243
"ENSRNOG00000021295",830
"ENSRNOG00000007666",177
"ENSRNOG00000016910",188
"ENSRNOG00000010406",14
"ENSRNOG00000006420",187
"ENSRNOG00000057806",1435
"ENSRNOG00000065655",0
"ENSRNOG00000010152",1
"ENSRNOG00000010164",961
"ENSRNOG00000069016",4
"ENSRNOG00000016678",48
"ENSRNOG00000004680",22
"ENSRNOG00000006435",413
"ENSRNOG00000006894",566
"ENSRNOG00000016220",2012
"ENSRNOG00000070709",258
"ENSRNOG00000004624",4696
"ENSRNOG00000019154",1176
"ENSRNOG00000034258",0
"ENSRNOG00000022274",247
"ENSRNOG00000025185",1938
"ENSRNOG00000005600",79
"ENSRNOG00000017925",1113
"ENSRNOG00000004372",0
"ENSRNOG00000007673",220
"ENSRNOG00000013906",4
"ENSRNOG00000050834",251
"ENSRNOG00000034195",1
"ENSRNOG00000017295",781
"ENSRNOG00000054901",272
"ENSRNOG00000048676",5
"ENSRNOG00000007998",326
"ENSRNOG00000013062",0
"ENSRNOG00000070298",2
"ENSRNOG00000013974",189
"ENSRNOG00000048870",1227
"ENSRNOG00000040333",0
"ENSRNOG00000029447",72
"ENSRNOG00000018145",1730
"ENSRNOG00000018205",426
"ENSRNOG00000046984",662
"ENSRNOG00000008469",255
"ENSRNOG00000029993",1
"ENSRNOG00000049056",202
"ENSRNOG00000006611",22
"ENSRNOG00000008455",283
"ENSRNOG00000018457",1259
"ENSRNOG00000019147",1991
"ENSRNOG00000055567",111
"ENSRNOG00000055886",0
"ENSRNOG00000024563",208
"ENSRNOG00000066367",2
"ENSRNOG00000022860",970
"ENSRNOG00000000007",0
"ENSRNOG00000064166",1
"ENSRNOG00000070526",0
"ENSRNOG00000016744",1349
"ENSRNOG00000004828",0
"ENSRNOG00000067882",0
"ENSRNOG00000004466",625
"ENSRNOG00000014369",591
"ENSRNOG00000050404",4063
"ENSRNOG00000018486",1
"ENSRNOG00000005070",349
"ENSRNOG00000001517",347
"ENSRNOG00000005369",0
"ENSRNOG00000024809",206
"ENSRNOG00000001519",39
"ENSRNOG00000011884",733
"ENSRNOG00000008609",7
"ENSRNOG00000048867",0
"ENSRNOG00000005743",0
"ENSRNOG00000069208",11
"ENSRNOG00000058329",208
"ENSRNOG00000004479",102
"ENSRNOG00000049619",0
"ENSRNOG00000007625",10
"ENSRNOG00000062930",0
"ENSRNOG00000004864",470
"ENSRNOG00000066218",0
"ENSRNOG00000024786",241
"ENSRNOG00000063301",0
"ENSRNOG00000001515",3150
"ENSRNOG00000005074",105
"ENSRNOG00000013694",49
"ENSRNOG00000005223",0
"ENSRNOG00000047241",0
"ENSRNOG00000010128",0
"ENSRNOG00000057996",0
"ENSRNOG00000018809",435
"ENSRNOG00000068640",0
"ENSRNOG00000033824",91
"ENSRNOG00000014584",529
"ENSRNOG00000052583",1891
"ENSRNOG00000001516",167
"ENSRNOG00000004775",867
"ENSRNOG00000064527",241
"ENSRNOG00000005701",0
"ENSRNOG00000048080",0
"ENSRNOG00000005235",0
"ENSRNOG00000043179",0
"ENSRNOG00000050552",232
"ENSRNOG00000049912",982
"ENSRNOG00000057740",0
"ENSRNOG00000009143",193
"ENSRNOG00000026203",0
"ENSRNOG00000028661",0
"ENSRNOG00000009382",63
"ENSRNOG00000032656",0
"ENSRNOG00000033835",241
"ENSRNOG00000067068",0
"ENSRNOG00000025892",643
"ENSRNOG00000005504",482
"ENSRNOG00000016965",2068
"ENSRNOG00000006732",0
"ENSRNOG00000009239",0
"ENSRNOG00000009781",2612
"ENSRNOG00000007485",859
"ENSRNOG00000009286",6
"ENSRNOG00000069922",0
"ENSRNOG00000005722",0
"ENSRNOG00000005331",982
"ENSRNOG00000048933",226
"ENSRNOG00000018832",0
"ENSRNOG00000061587",82
"ENSRNOG00000028384",695
"ENSRNOG00000070627",26
"ENSRNOG00000015791",200
"ENSRNOG00000064734",56
"ENSRNOG00000033682",0
"ENSRNOG00000018874",51
"ENSRNOG00000028533",0
"ENSRNOG00000008129",273
"ENSRNOG00000010729",760
"ENSRNOG00000007665",1416
"ENSRNOG00000057347",670
"ENSRNOG00000043323",0
"ENSRNOG00000015237",208
"ENSRNOG00000065606",891
"ENSRNOG00000001524",200
"ENSRNOG00000005751",0
"ENSRNOG00000069723",1
"ENSRNOG00000028440",0
"ENSRNOG00000013442",848
"ENSRNOG00000007012",1
"ENSRNOG00000005800",0
"ENSRNOG00000007017",0
"ENSRNOG00000007781",2063
"ENSRNOG00000005083",663
"ENSRNOG00000025832",1427
"ENSRNOG00000001520",76
"ENSRNOG00000017443",532
"ENSRNOG00000063099",10
"ENSRNOG00000015970",480
"ENSRNOG00000009620",793
"ENSRNOG00000067313",1
"ENSRNOG00000005871",10
"ENSRNOG00000021225",0
"ENSRNOG00000046350",0
"ENSRNOG00000004772",1
"ENSRNOG00000008081",249
"ENSRNOG00000011401",5
"ENSRNOG00000043311",0
"ENSRNOG00000022162",954
"ENSRNOG00000005033",1030
"ENSRNOG00000069241",0
"ENSRNOG00000022922",435
"ENSRNOG00000006079",23
"ENSRNOG00000008194",625
"ENSRNOG00000053384",0
"ENSRNOG00000071205",3
"ENSRNOG00000005341",0
"ENSRNOG00000022681",558
"ENSRNOG00000022141",643
"ENSRNOG00000059891",158
"ENSRNOG00000046949",42
"ENSRNOG00000017583",546
"ENSRNOG00000006314",0
"ENSRNOG00000017647",88
"ENSRNOG00000008258",2133
"ENSRNOG00000008245",1433
"ENSRNOG00000008482",1855
"ENSRNOG00000009531",2
"ENSRNOG00000026036",0
"ENSRNOG00000001518",733
"ENSRNOG00000021220",4
"ENSRNOG00000061199",0
"ENSRNOG00000009406",1376
"ENSRNOG00000019179",214
"ENSRNOG00000005246",0
"ENSRNOG00000064239",0
